candidate_id,name,url,reason_code,reason
a-16,Twin1 AI,https://techstartups.com/2026/08/20/twin1-ai-emerges-from-stealth-with-20m-in-funding-to-give-every-professional-an-ai-powered-digital-twin/,no_wow,"Один источник, вау только в собственных формулировках компании"
a-17,Radical Numerics,https://techstartups.com/2026/07/06/venture-capital-startup-funding-roundup-july-6-2026/,funding_unconfirmed,Раунд виден только в funding-дайджесте; два независимых источника не собраны
a-18,Ellis,https://techstartups.com/2026/07/01/venture-capital-startup-funding-roundup-july-1-2026/,funding_unconfirmed,Раунд виден только в funding-дайджесте; независимое подтверждение не собрано
a-19,Ploy,https://techcrunch.com/2026/06/18/the-11-standout-startups-from-ycs-demo-day-according-to-vcs/,funding_unconfirmed,$27M seed упоминается во вторичных сводках YC Demo Day; первичное подтверждение по §3 не собрано
a-20,Horizon3,https://thenextweb.com/news/horizon3-250m-series-e-2bn-autonomous-ai-pentest,out_of_scope,Series E (D+ стадия); исключительный wow_score 5 не подтверждён
a-21,Arrakis,https://fortune.com/2026/07/22/arrakis-a-startup-betting-ais-biggest-payoff-is-in-industrial-sectors-not-office-work-emerges-from-stealth-with-38-million-in-venture-funding/,no_wow,Суммы расходятся по источникам ($30M vs $38M); вау сверх выхода из стелса не установлено
a-22,Recall,https://wellows.com/blog/ai-startups/,funding_unconfirmed,"Вирусность на HN упомянута агрегатором, но дата pre-seed раунда не установлена — попадание в окно свежести не подтверждено"
a-23,Oak,https://alleywatch.com/2026/08/global-startup-funding-top-largest-july-2026-vc/,out_of_scope,Израиль — вне полосы A (США)
a-24,Enigma,https://www.calcalistech.com/ctechnews/article/h1tdxjhrgx,out_of_scope,Израиль — вне полосы A (США)
a-25,Oppex AI,https://www.finsmes.com/2026/09/oppex-ai-raises-approx-usd500k-in-pre-seed-funding.html,out_of_scope,Бангалор (Индия) — вне полосы A (США)
b-007,OpenClaw,https://www.kdnuggets.com/openclaw-explained-the-free-ai-agent-tool-going-viral-already-in-2026,funding_unconfirmed,"Вирусность колоссальная (247k GitHub stars), но венчурного раунда нет: open-source, основатель ушёл в OpenAI"
b-008,Hark,https://techcrunch.com/2026/05/21/hark-raises-700m-series-a-for-its-secretive-universal-ai-interface/,no_wow,"Только W4 (мега-раунд $700M); продукт секретен, ни демо, ни вирусных свидетельств — большой раунд сам по себе не вау"
b-009,Elorian AI,https://techcrunch.com/2026/07/16/how-a-former-deepmind-researcher-raised-at-a-300m-pre-seed-valuation-before-launching-a-product/,no_wow,"Продукт не запущен, вау только раунд/оценка (W4), внешних свидетельств продукта нет — грейд был бы C"
b-010,PixVerse,https://techcrunch.com/2026/07/13/video-generation-startup-pixverse-raises-439m-valuation-soars-past-2b/,no_wow,Независимые вирусные свидетельства не собраны; ниша видеогенерации в выдаче уже представлена Higgsfield
b-011,Mirage (Captions),https://techcrunch.com/2026/03/24/mirage-raises-75m-to-continue-building-models-for-its-ai-video-editing-app-captions/,no_wow,Вау-свидетельств уровня W1-W3 при проверке не найдено
b-012,Fish Audio,https://techcrunch.com/2026/07/28/fish-audio-raises-50m-seed-to-build-ai-voice-models-for-creators-and-enterprises/,no_wow,"Крупный сид, но независимых вау-свидетельств не собрано"
b-013,Status AI,https://techcrunch.com/2026/05/19/gamified-social-media-network-status-announces-17m-funding-to-help-usher-in-new-era-of-social-networking/,no_wow,Вирусное подтверждение не найдено
b-014,Clouted,https://techcrunch.com/2026/05/20/clouted-wants-to-take-the-guesswork-out-of-making-short-videos-go-viral/,no_wow,"Обычный хороший сид-стартап, собственного вирусного эффекта нет"
b-015,Fika Jobs,https://techcrunch.com/2026/06/23/fika-jobs-raises-4m-to-build-a-video-first-hiring-platform-where-ai-agents-interview-candidates/,no_wow,Вау-свидетельств нет
b-016,Natural,https://techcrunch.com/2026/07/20/natural-raises-30m-to-reinvent-payments-for-ai-agents-and-take-on-stripe/,no_wow,"Инфраструктура платежей для агентов — вне вирусной полосы, независимого вау нет"
b-017,Naive,https://techcrunch.com/2026/08/06/naive-raises-28-5m-to-automate-the-grunt-work-of-setting-up-and-running-a-company/,no_wow,Вау-свидетельства не собраны
b-018,Smallest.ai,https://techcrunch.com/2026/07/31/smallest-ai-raises-13m-to-build-ultra-fast-voice-ai-that-sounds-genuinely-human/,no_wow,Вау независимо не подтверждено
b-019,Prime Intellect,https://techcrunch.com/2026/07/08/prime-intellect-raises-130m-series-a-to-help-enterprises-build-their-own-ai-agents/,no_wow,"Энтерпрайз-инфра, вирусных свидетельств запуска нет"
b-020,Prentis,https://techcrunch.com/2026/07/24/prentis-new-ai-lab-co-founded-by-reid-hoffman-mark-pincus-in-talks-to-raise-100m/,funding_unconfirmed,"Раунд в стадии переговоров ('in talks'), публичного анонса закрытия нет"
b-021,Stability AI,https://techcrunch.com/2026/08/25/stability-ai-maker-of-image-generator-stable-diffusion-raises-76-million-in-fresh-funding/,no_wow,"Зрелая компания, доборный раунд без вау-эффекта"
b-022,Framer AI Agents,https://www.producthunt.com/leaderboard/weekly/2026/29,not_startup,"Фича существующей зрелой компании Framer, не отдельный стартап"
b-023,GRU Space,https://hubkub.com/tech-news/yc-w26-demo-day-2026/,funding_unconfirmed,Только покрытие Demo Day и LOI; публично анонсированного раунда в окне двумя источниками не подтвердить
b-024,Hex Security,https://hubkub.com/tech-news/yc-w26-demo-day-2026/,funding_unconfirmed,ARR-заявления из батч-покрытия; отдельный раунд публично не подтверждён
b-025,Luel,https://hubkub.com/tech-news/yc-w26-demo-day-2026/,funding_unconfirmed,ARR-заявления из батч-покрытия; отдельный раунд публично не подтверждён
c-007,Lovable,https://tech.eu/2026/08/12/lovables-valuation-doubles-to-13bn-as-raises-400m/,out_of_scope,"Прошёл проверку раунда и вау (wow 4: ARR ~$200M -> ~$600M за 8 месяцев, оценка удвоилась до $13.3B), но не вошёл в квоту 4-6 записей: компания уже широко освещена, радарной новизны меньше, чем у остальных финалистов"
c-008,Gradium,https://techcrunch.com/2026/07/09/paris-based-ai-voice-startup-gradium-raises-100m-seed-backed-by-nvidia/,out_of_scope,"Событие — расширение уже существующего seed (около $30M сверху, итого >$100M), а не новый раунд; вау держится только на W4 (Nvidia, размер чека), максимум wow 3, в квоту не вошёл"
c-009,AMI Labs (Advanced Machine Intelligence),https://techcrunch.com/2026/03/09/yann-lecuns-ami-labs-raises-1-03-billion-to-build-world-models/,no_wow,"Крупнейший в истории Европы seed ($1.03B при оценке $3.5B pre-money), но продукта, демо и трекшена нет; вау строится только на деньгах и имени Яна ЛеКуна — это W4 в одиночку, максимум wow 3"
c-010,Corma,https://fortune.com/2026/08/10/exclusive-corma-raises-60-million-from-sequoia-for-ai-trained-to-defend-against-cyberattacks/,no_wow,"Раунд $60M seed от Sequoia подтверждён несколькими СМИ, но все вау-цифры (сокращение времени реакции на 94%, покрытие x15, бенчмарк про 78% необнаруженных бэкдоров) идут из материалов компании; страницу TechTimes с разбором открыть не удалось (403)"
c-011,Legora,https://tech.eu/2026/04/30/legora-extends-series-d-to-600m-with-backing-from-atlassian-and-nventures-reaching-56b-valuation/,out_of_scope,"Стадия D+ при wow 4 (регламент допускает D+ только при wow 5); дополнительно — это расширение Series D, а не новый раунд"
c-012,PsiBot,https://technode.com/2026/08/28/embodied-ai-startup-psibot-raises-over-100-million-with-industrial-investors-joining/,no_wow,"Раунд >$100M в окне, но вау только W4 (деньги и промышленные инвесторы); внешних свидетельств прорывной способности, демо или трекшена не нашёл"
c-013,Infiforce,https://theaiinsider.tech/2026/08/15/chinas-infiforce-raises-nearly-150m-in-funding-to-develop-ego-native-world-model-for-robots/,funding_unconfirmed,"Подтверждение раунда ~$150M идёт через отраслевые перепечатки и агрегаторы; независимого делового СМИ уровня §3 не нашёл, заказ на 1000 единиц в Саудовской Аравии не подтверждён"
c-014,X Square Robot,https://news.crunchbase.com/robotics/embodied-ai-fuels-record-funding-china-ipo-momentum-builds/,funding_unconfirmed,"Детали раундов ($140M extension в январе, $293M Series B в апреле) есть только внутри обзорной статьи Crunchbase News; отдельного подтверждения по §3 не собрал"
c-015,Sarvam AI,https://techcrunch.com/2026/06/15/sarvam-becomes-indias-newest-ai-unicorn-with-234-million-funding-round-led-by-hcltech/,no_wow,"Раунд $234M Series B при оценке $1.5B подтверждён надёжно, но весь трекшен (2 млн диалогов в день, 10 млн API-вызовов) передан со слов компании и её инвестора HCLTech; независимых вау-свидетельств нет — это W4 плюс company-only, максимум wow 3"
c-016,Sakana AI,https://techcrunch.com/2025/11/17/sakana-ai-raises-135m-series-b-at-a-2-65b-valuation-to-continue-building-ai-models-for-japan,stale_round,Series B $135M анонсирован 17 ноября 2025 — вне окна свежести (окно: 2026-03-03 .. 2026-09-03)
c-017,Atom,https://theaiinsider.tech/2026/06/01/japans-atom-raises-nearly-19m-in-seed-round-funding-for-humanoid-robotics-with-goal-to-create-new-species/,no_wow,"Seed ~$19M (3 млрд иен) в окне, но вау подтверждается только амбициозной формулировкой цели компании; независимых свидетельств W1-W3 нет"
c-018,Robai,https://en.wowtale.net/2026/07/28/234564/,funding_unconfirmed,"Сумма раунда не раскрыта, подтверждение только одним региональным изданием — требование §3 (два независимых источника) не выполнено"
c-019,Sume,https://seedtable.com/best-startups-in-seoul,funding_unconfirmed,"Раунд известен только по агрегатору-списку, дата анонса и сумма не подтверждены публикацией; §3 не выполнен"
c-020,telli,https://tech.eu/2026/07/23/telli-secures-15m-seed-to-automate-customer-facing-operations/,no_wow,"Раунд $15M seed подтверждён, но продукт — ещё один агент для клиентских операций; ни одного признака W1-W5 с независимым свидетельством"
c-021,Promptwatch,https://sifted.eu/articles/promptwatch-raises-seed-round,funding_unconfirmed,"Дата анонса раунда €6M в открытом доступе не подтвердилась, статья Sifted за пейволлом; заявленные €2M ARR за 12 месяцев остались непроверенными"
c-022,Velocity,https://www.mediapost.com/publications/article/416403/israeli-ai-startup-raises-27-million-in-funding.html,no_wow,"Seed $27M в окне, команда из IronSource/Unity, но вау-свидетельств W1-W3 нет: продукт описан только на уровне заявления об инфраструктуре монетизации"
c-023,Tangos AI,https://www.calcalistech.com/ctechnews/article/rk8uoy9mze,no_wow,"Seed $20M под лидерством Red Dot Capital, вертикальный AI для расследований финансовых преступлений; независимых свидетельств прорыва или трекшена нет"
c-024,Emergent (Series B),https://techcrunch.com/2026/01/20/indian-vibe-coding-startup-emergent-raises-70m-at-300m-valuation-from-softbank-khosla-ventures/,duplicate,"Дубль записи in-devtools-emergent-seriesc-2026-07: более ранний раунд той же компании, к тому же вне окна свежести"
c-025,Instinct,https://techcrunch.com/2026/08/26/viral-ai-startup-instinct-has-raised-350-million-at-a-2-5-billion-valuation/,out_of_scope,"Вне полосы C: страна в статье не указана, материнская структура (Spear Street Technology) и инвесторы указывают на США, а не на Европу/Азию"
c-026,Revspot,https://yourstory.com/2026/07/ai-startup-revspot-raises-funding-series-a-round,no_wow,Series A $4.8M — обычный вертикальный SaaS для лидогенерации; ни одного вау-признака с внешним свидетельством
c-027,Deccan AI,https://startupfeed.in/indian-ai-startup-funding-h1-2026/,funding_unconfirmed,Раунд $25M упомянут только в обзорном дайджесте; отдельной проверяемой публикации об анонсе не нашёл
c-028,Runable,https://startupfeed.in/indian-ai-startup-funding-h1-2026/,funding_unconfirmed,"Раунд $21M упомянут только в дайджесте, точная дата анонса и детали не подтверждены независимо"
c-029,Tsuga,https://www.eu-startups.com/2026/06/french-observability-startup-tsuga-lands-e30-million-to-expand-ai-agent-platform/,no_wow,"€30M в окне, но observability для AI-агентов подан без внешних свидетельств прорыва, метрик или разборов — вау отсутствует"
c-030,Davis,https://www.eu-startups.com/2026/05/french-ai-real-estate-startup-davis-raises-e4-6-million-and-unveils-gaudi-1-for-automated-architectural-generation/,no_wow,"€4.6M и анонс модели Gaudi-1, но всё вау — из материалов самой компании, единственное независимое упоминание не проверяет заявленные возможности"
d-07,Skild AI,https://techcrunch.com/2026/01/14/robotic-software-maker-skild-ai-hits-14b-valuation/,stale_round,Раунд $1.4B анонсирован 14.01.2026 — до начала окна свежести 03.03.2026
d-08,Humanoid,https://www.therobotreport.com/uk-based-humanoid-secures-152m-in-series-a-funding/,no_wow,"Единственный признак — деньги (W4), при этом продукт не отгружен (бета Q4 2026); на фоне $8.6B инвестиций в гуманоидов за H1 2026 раунд $152M не аномален — итоговый wow ниже 3"
d-09,River AI,https://techfundingnews.com/xai-co-founder-raises-1-1b-for-river-ai-to-build-an-open-ai-stack/,out_of_scope,"Вне полосы D: enterprise-AI-инфраструктура (не роботика/голос/видео/наука), связь фаундера со СНГ источниками не подтверждена; вау-признаки кроме W4 — только заявления компании"
d-10,Runway,https://techcrunch.com/2026/02/10/ai-video-startup-runway-raises-315m-at-5-3b-valuation-eyes-more-capable-world-models/,stale_round,Series E анонсирован 10.02.2026 — до окна
d-11,World Labs,https://www.forbes.com/sites/josipamajic/2026/06/30/world-model-startups-raise-3-billion-vcs-bet-beyond-llms/,stale_round,Раунд $1B анонсирован в феврале 2026 — до окна
d-12,ElevenLabs,https://aiweekly.co/alerts/elevenlabs-anchors-7bn-voice-ai-funding-rush-in-q1-2026,stale_round,Series D $500M — февраль 2026, до окна; плюс поздняя стадия
d-13,Deepgram,https://aiweekly.co/alerts/elevenlabs-anchors-7bn-voice-ai-funding-rush-in-q1-2026,stale_round,Series C $130M — январь 2026, до окна
d-14,Parloa,https://aiweekly.co/alerts/elevenlabs-anchors-7bn-voice-ai-funding-rush-in-q1-2026,stale_round,Series D $350M — январь 2026, до окна
d-15,Decagon,https://www.newcomer.co/p/investors-go-hard-for-voice-ai-with,stale_round,Series D $250M — январская сделка, до окна
d-16,Worldmodeldata,https://www.eu-startups.com/2026/07/uk-startup-worldmodeldata-raises-e8-million-to-turn-video-games-into-training-data-for-physical-ai/,funding_unconfirmed,"Раунд €8M виден только в EU-Startups; второй независимый источник в сессии не найден, вау-свидетельств нет"
d-17,Smallest.ai,https://techcrunch.com/2026/07/31/smallest-ai-raises-13m-to-build-ultra-fast-voice-ai-that-sounds-genuinely-human/,no_wow,"Раунд подтверждён (TechCrunch), но «вау» — заявления компании; независимых бенчмарков/вирусных подтверждений не найдено"
d-18,Encore AI,https://techcrunch.com/2026/07/29/encore-ai-raises-30m-to-build-ai-agents-that-learn-from-customer-calls/,no_wow,Ни один признак W1–W5 не подтверждён независимыми свидетельствами
d-19,Earendil Labs,https://intuitionlabs.ai/articles/ai-biologics-discovery-pharma-investment-trends,funding_unconfirmed,Раунд $787M (март 2026) встречен только в агрегаторе; по §3 не подтверждён двумя источниками в рамках сессии
d-20,Tomorrow.io,https://www.calcalistech.com/ctechnews/article/rj67r5yvze,unverifiable,Дата анонса раунда $175M не установлена в сессии — попадание в окно не доказано; поздняя стадия
d-21,Instinct,https://vc.ru/invest/3100089-startap-instinct-privlek-finansirovanie-dlya-razrabotki-ii-assistenta,out_of_scope,"Consumer-ассистент вне frontier-категорий полосы D; продукт в закрытой бете, вау кроме суммы не подтверждён"
d-22,Lovable,https://vc.ru/invest/3075002-startap-lovable-privlek-finansirovanie-dlya-vajb-kodinga,out_of_scope,"Вне полосы D (vibe-coding, не frontier-категории задания и не СНГ-угол); поздняя стадия"
d-23,Mymeet.ai,https://rb.ru/news/mymeetai-deal/,no_wow,"Раунд 16,5 млн руб. подтверждён (RB.ru, TAdviser, Русский Венчур), но вау-признаков уровня 3 нет: микрочек, рост выручки — из отчётности компании"
d-24,Innde,,no_wow,"Сделка 5 млн руб. за 20% — микрочек, вау-признаков нет"
d-25,VibeVO,,funding_unconfirmed,"Сумма («несколько сотен тысяч долларов») без точных параметров, подтверждение единственным дайджестом"
d-26,New Era of Shopping,,no_wow,"Pre-seed $1.4M, вау-признаков нет; интересен только как маркер активности СНГ-фаундеров"
d-27,платформа Андрея Зименкова (название не установлено),,unverifiable,Название компании не удалось установить по выдаче — раунд 115 млн руб. невозможно верифицировать
d-28,AMI (Yann LeCun),https://www.forbes.com/sites/josipamajic/2026/06/30/world-model-startups-raise-3-billion-vcs-bet-beyond-llms/,funding_unconfirmed,Рекордный seed $1.03B упомянут в обзоре Forbes; дата анонса и второй источник в сессии не подтверждены
d-29,Genesis AI,https://startupintros.com/orgs/genesis-ai,stale_round,Сид $105M — июль 2025, задолго до окна
d-30,Physical Intelligence,https://startupfundraising.com/ai-physical-intelligence-world-models-simulation-fundraising,unverifiable,Упомянутый раунд $400M без даты; подтверждения анонса в окне 03.03–03.09.2026 не найдено
a-01,Instinct,https://techcrunch.com/2026/08/26/viral-ai-startup-instinct-has-raised-350-million-at-a-2-5-billion-valuation/,duplicate,дубль: запись слита с полосой B
a-02,River AI,https://techcrunch.com/2026/08/11/general-catalyst-leads-1-1b-round-into-2-month-old-river-ai/,no_wow,PASS 6: wow_score 3 — за чертой финального отбора при квоте 15 (ядро выдачи 4–5)
b-003,Wispr Flow,https://wisprflow.ai/,no_wow,PASS 6: wow_score 3 — за чертой финального отбора при квоте 15 (ядро выдачи 4–5)
b-006,Gizmo,https://gizmo.ai/,no_wow,PASS 6: wow_score 3 — за чертой финального отбора при квоте 15 (ядро выдачи 4–5)
c-006,Callosum,https://sifted.eu/articles/callosum-raise-atomico-plural-uk-sovereign-ai,no_wow,PASS 6: wow_score 3 — за чертой финального отбора при квоте 15 (ядро выдачи 4–5)
d-03,Higgsfield AI,https://www.prnewswire.com/news-releases/higgsfield-raises-400-million-series-b-financing-at-5-4-billion-valuation-with-annualized-revenue-reaching-700-million-302852430.html,duplicate,дубль: запись слита с полосой B
d-05,CuspAI,https://sifted.eu/articles/cuspai-lands-450m-round-to-accelerate-ai-materials-discovery,no_wow,PASS 6: wow_score 3 — за чертой финального отбора при квоте 15 (ядро выдачи 4–5)
d-06,АрхиТех ИИ,https://www.kommersant.ru/doc/8726075,no_wow,PASS 6: wow_score 3 — за чертой финального отбора при квоте 15 (ядро выдачи 4–5)
