candidate_id,name,url,one_liner,assumed_round,assumed_date,discovered_via,decision,reason
b-001,Instinct,https://instinct.co/,"Персональный AI-агент в текстах и звонках, организует жизнь пользователя",Series B $250M,2026-08-26,WebSearch: viral AI demo 2026 / TechCrunch,included,"Раунд подтверждён (TechCrunch+Forbes+SiliconANGLE), вирусность независимо подтверждена, wow 4"
b-002,Higgsfield,https://higgsfield.ai/,"AI-генерация видео/изображений, студии под кино и маркетинг",Series B $400M,2026-08-17,WebSearch: viral AI demo 2026,included,"Раунд подтверждён, $700M ARR и 4x оценки за 8 мес, wow 4"
b-003,Wispr Flow,https://wisprflow.ai/,AI-диктовка: естественная речь в чистый текст в любом приложении,Series B $280M,2026-08-17,Product Hunt топы / WebSearch,rejected,PASS 6: wow_score 3 — за чертой финального отбора при квоте 15 (ядро выдачи 4–5)
b-004,Sekai,https://sekaiapp.com/,Промпт превращается в играбельный шареабельный мини-апп,Series A $20M,2026-06-01,WebSearch: AI app viral series A summer 2026,included,"Раунд подтверждён (Axios+PR+эхо), 15M мини-аппов / 200k в день, wow 4"
b-005,Series,https://series.so/,AI-соцсеть целиком внутри iMessage для студентов,pre-seed $5.1M,2026-04-24,TechCrunch через WebSearch,included,"Раунд подтверждён (TechCrunch+Yahoo), вирусное launch-видео, новая механика, wow 4"
b-006,Gizmo,https://gizmo.ai/,AI-флешкарты и геймифицированная учёба из заметок,Series A $22M,2026-04-15,TechCrunch через WebSearch,rejected,PASS 6: wow_score 3 — за чертой финального отбора при квоте 15 (ядро выдачи 4–5)
b-007,OpenClaw,https://www.kdnuggets.com/openclaw-explained-the-free-ai-agent-tool-going-viral-already-in-2026,Вирусный open-source AI-агент (247k GitHub stars за 60 дней),none,unknown,WebSearch: OpenClaw viral funding,rejected,"Раунда нет: open-source проект, основатель ушёл в OpenAI"
b-008,Hark,https://techcrunch.com/2026/05/21/hark-raises-700m-series-a-for-its-secretive-universal-ai-interface/,Секретный 'универсальный AI-интерфейс' Брета Эдкока (модели+железо),Series A $700M,2026-05-21,TechCrunch через WebSearch,rejected,"Только W4 (деньги), продукта нет — секретность, вирусных свидетельств нет"
b-009,Elorian AI,https://techcrunch.com/2026/07/16/how-a-former-deepmind-researcher-raised-at-a-300m-pre-seed-valuation-before-launching-a-product/,"Visual AI от экс-DeepMind, $55M seed при $300M оценке до запуска",seed $55M,2026-07-16,TechCrunch через WebSearch,rejected,"Продукт не запущен, вау только W4 — wow<=3 при грейде C, вытеснен более сильными"
b-010,PixVerse,https://techcrunch.com/2026/07/13/video-generation-startup-pixverse-raises-439m-valuation-soars-past-2b/,"Генерация видео, оценка выше $2B",раунд $439M,2026-07-13,TechCrunch через WebSearch,rejected,Вирусные свидетельства не собраны; ниша видеогенерации уже покрыта Higgsfield
b-011,Mirage (Captions),https://techcrunch.com/2026/03/24/mirage-raises-75m-to-continue-building-models-for-its-ai-video-editing-app-captions/,Модели для AI-видеоредактора Captions,$75M,2026-03-24,TechCrunch через WebSearch,rejected,Независимые вау-свидетельства в вирусной полосе не найдены при беглой проверке
b-012,Fish Audio,https://techcrunch.com/2026/07/28/fish-audio-raises-50m-seed-to-build-ai-voice-models-for-creators-and-enterprises/,AI-голосовые модели для креаторов,seed $52M,2026-07-28,TechCrunch через WebSearch,rejected,"Вау-свидетельства не собраны, вытеснен более сильными кандидатами полосы"
b-013,Status AI,https://techcrunch.com/2026/05/19/gamified-social-media-network-status-announces-17m-funding-to-help-usher-in-new-era-of-social-networking/,Геймифицированная соцсеть как интерактивное развлечение,$17M,2026-05-19,TechCrunch через WebSearch,rejected,"Вирусное подтверждение не найдено при проверке, wow не собран"
b-014,Clouted,https://techcrunch.com/2026/05/20/clouted-wants-to-take-the-guesswork-out-of-making-short-videos-go-viral/,AI+сеть клипперов для вирусной дистрибуции коротких видео,seed $7M,2026-05-20,TechCrunch через WebSearch,rejected,"Обычный хороший стартап, собственных вирусных свидетельств нет"
b-015,Fika Jobs,https://techcrunch.com/2026/06/23/fika-jobs-raises-4m-to-build-a-video-first-hiring-platform-where-ai-agents-interview-candidates/,AI-агенты интервьюируют кандидатов в видео-найме,$4M,2026-06-23,TechCrunch через WebSearch,rejected,"Вау-свидетельств нет, wow<=2"
b-016,Natural,https://techcrunch.com/2026/07/20/natural-raises-30m-to-reinvent-payments-for-ai-agents-and-take-on-stripe/,Платежи для AI-агентов (конкурент Stripe),$30M,2026-07-20,TechCrunch через WebSearch,rejected,"Инфраструктурная тема вне вирусной полосы, вау независимо не подтверждено"
b-017,Naive,https://techcrunch.com/2026/08/06/naive-raises-28-5m-to-automate-the-grunt-work-of-setting-up-and-running-a-company/,Автоматизация рутины создания и ведения компании,$28.5M,2026-08-06,TechCrunch через WebSearch,rejected,"Вау-свидетельства не собраны, вне фокуса вирусной полосы"
b-018,Smallest.ai,https://techcrunch.com/2026/07/31/smallest-ai-raises-13m-to-build-ultra-fast-voice-ai-that-sounds-genuinely-human/,Ультрабыстрый человечный voice AI,$13M,2026-07-31,TechCrunch через WebSearch,rejected,Вау независимо не подтверждено при беглой проверке
b-019,Prime Intellect,https://techcrunch.com/2026/07/08/prime-intellect-raises-130m-series-a-to-help-enterprises-build-their-own-ai-agents/,Энтерпрайз-платформа для собственных AI-агентов,Series A $130M,2026-07-08,TechCrunch через WebSearch,rejected,"Энтерпрайз-инфра вне вирусной полосы, вау-свидетельств запуска нет"
b-020,Prentis,https://techcrunch.com/2026/07/24/prentis-new-ai-lab-co-founded-by-reid-hoffman-mark-pincus-in-talks-to-raise-100m/,Новая AI-лаборатория Рида Хоффмана и Марка Пинкуса,в переговорах ~$100M,2026-07,TechCrunch через WebSearch,rejected,"Раунд не закрыт — 'in talks', публичного анонса нет"
b-021,Stability AI,https://techcrunch.com/2026/08/25/stability-ai-maker-of-image-generator-stable-diffusion-raises-76-million-in-fresh-funding/,"Разработчик Stable Diffusion, новый раунд $76M",$76M,2026-08-25,TechCrunch через WebSearch,rejected,"Давно известная компания, вау-эффекта нет — обычный доборный раунд"
b-022,Framer AI Agents,https://www.producthunt.com/leaderboard/weekly/2026/29,AI-агенты для дизайна и публикации сайтов (топ Product Hunt),none,unknown,Product Hunt weekly leaderboard,rejected,"Фича зрелой компании Framer, не стартап в смысле радара"
b-023,GRU Space,https://hubkub.com/tech-news/yc-w26-demo-day-2026/,"Космический стартап YC W26, $500M в LOI",YC batch,2026-03,Покрытие YC W26 Demo Day,rejected,Публично подтверждённого венчурного раунда в окне не найдено (только Demo Day и LOI)
b-024,Hex Security,https://hubkub.com/tech-news/yc-w26-demo-day-2026/,"Секьюрити-стартап YC W26, $1M ARR за 8 недель",YC batch,2026-03,Покрытие YC W26 Demo Day,rejected,Раунд сверх YC-батча публично не подтверждён
b-025,Luel,https://hubkub.com/tech-news/yc-w26-demo-day-2026/,"Стартап YC W26, ~$2M ARR за 6 недель",YC batch,2026-03,Покрытие YC W26 Demo Day,rejected,Раунд сверх YC-батча публично не подтверждён
c-001,TARS Robotics,https://www.caixinglobal.com/2026-04-17/chinese-ai-robotics-startup-tars-raises-455-million-in-record-pre-a-round-102434873.html,Шанхайские гуманоидные роботы с моделями embodied AI,pre-A $455M,2026-04-17,WebSearch: Chinese AI startup funding 2026 embodied AI,included,"Раунд в окне, рекорд для сектора, независимо подтверждённое world-first демо бимануальной вышивки"
c-002,Enigma,https://techcrunch.com/2026/07/27/enigma-raises-70m-to-make-controlling-a-robot-as-easy-as-adjusting-the-volume/,Foundation-модели и интерфейсы для роботов; 100+ роботов под управлением онлайн,seed $71M,2026-07-27,WebSearch: Israeli AI startup raises funding 2026,included,Раунд подтверждён TechCrunch+Calcalist+TNW; новая механика запуска (публичный эксперимент) как W5
c-003,Emergent,https://techcrunch.com/2026/07/15/indian-ai-coding-startup-emergent-becomes-a-unicorn-just-over-a-year-after-launch/,Индийская vibe-coding платформа: приложение по текстовому описанию,series C $130M,2026-07-15,WebSearch: India AI startup viral product 2026,included,$120M ARR run-rate и 200k платящих клиентов за год; оценка x5 за 6 месяцев
c-004,Microagi,https://www.semafor.com/article/07/16/2026/robot-data-startup-microagi-raises-largest-seed-round-ever-in-germany,Сбор данных с заводов и из квартир для обучения гуманоидных роботов,seed $55M,2026-07-16,WebSearch: European AI startup raises seed Series A 2026 Sifted,included,Крупнейший seed в истории Германии + необычная механика сбора данных (бесплатная уборка в NY)
c-005,Wrtn Technologies,https://www.koreatimes.co.kr/business/tech-science/20260826/wrtn-raises-72-mil-in-series-c-funding-round,Корейская потребительская AI-платформа и AI-персонажи,series C 100 млрд вон,2026-08-25,WebSearch: Korean AI startup raises funding 2026 Seoul,included,OOC вышла на 10 млрд вон/мес за 3 месяца в США; первый корейский AI-сервис дороже 1 трлн вон
c-006,Callosum,https://sifted.eu/articles/callosum-raise-atomico-plural-uk-sovereign-ai,Маршрутизация AI-нагрузок между разными моделями и чипами,seed $100M,2026-08-20,WebSearch: Tech.eu AI startup funding round August 2026,rejected,PASS 6: wow_score 3 — за чертой финального отбора при квоте 15 (ядро выдачи 4–5)
c-007,Lovable,https://tech.eu/2026/08/12/lovables-valuation-doubles-to-13bn-as-raises-400m/,Шведская платформа сборки приложений по описанию на естественном языке,series C $400M,2026-08-12,WebSearch: Lovable funding 2026 raises valuation Sweden,rejected,"Прошёл проверку раунда и вау (ARR ~$200M -> ~$600M за 8 месяцев, оценка x2), но не вошёл в квоту 4-6: компания уже максимально широко освещена, радарной новизны меньше"
c-008,Gradium,https://techcrunch.com/2026/07/09/paris-based-ai-voice-startup-gradium-raises-100m-seed-backed-by-nvidia/,Французские голосовые модели с ультранизкой задержкой; спин-офф Kyutai,seed extension ~$30M (итого >$100M),2026-07-08,WebSearch: French AI startup raises 2026 funding round Paris,rejected,"Это расширение уже существующего seed, а не новый раунд; вау держится на W4 (Nvidia, размер) — не тянет выше 3, в квоту не вошёл"
c-009,AMI Labs (Advanced Machine Intelligence),https://techcrunch.com/2026/03/09/yann-lecuns-ami-labs-raises-1-03-billion-to-build-world-models/,Лаборатория Яна ЛеКуна: world models вместо языковых моделей,seed $1.03B,2026-03-09,WebSearch: French AI startup raises 2026 funding round Paris,rejected,"Раунд в окне и рекордный для Европы, но продукта, демо и трекшена нет — вау строится только на деньгах и имени основателя (W4), не выше 3"
c-010,Corma,https://fortune.com/2026/08/10/exclusive-corma-raises-60-million-from-sequoia-for-ai-trained-to-defend-against-cyberattacks/,Foundation-модель для защитной кибербезопасности; Тель-Авив и Сан-Франциско,seed $60M,2026-08-10,WebSearch: Israeli AI startup raises funding 2026,rejected,"Раунд подтверждён (Fortune/Calcalist/Ynet), но ключевые метрики (сокращение времени реакции на 94%, бенчмарк 78%) идут из материалов компании; независимого подтверждения вау не нашёл"
c-011,Legora,https://tech.eu/2026/04/30/legora-extends-series-d-to-600m-with-backing-from-atlassian-and-nventures-reaching-56b-valuation/,Шведский legal AI; ARR с $3M до $150M за 18 месяцев,series D extension $600M,2026-04-30,WebSearch: fastest growing European AI startup 2026 ARR,rejected,"Стадия D+ при вау-скоре 4 (не 5) — по регламенту out_of_scope; плюс это расширение Series D, а не новый раунд"
c-012,PsiBot,https://technode.com/2026/08/28/embodied-ai-startup-psibot-raises-over-100-million-with-industrial-investors-joining/,Китайский embodied AI с фокусом на ловкой манипуляции; модели Psi-R2 и Psi-W0,round >$100M,2026-08-28,WebSearch: Chinese AI startup funding 2026 embodied AI,rejected,"Раунд подтверждён, но вау только W4 (деньги, промышленные инвесторы); внешних свидетельств прорывной способности или трекшена не нашёл"
c-013,Infiforce,https://theaiinsider.tech/2026/08/15/chinas-infiforce-raises-nearly-150m-in-funding-to-develop-ego-native-world-model-for-robots/,Китайская когнитивная система AtomBrain и causal world models для роботов,series A/A+ ~$150M,2026-08,WebSearch: Chinese AI startup funding 2026 embodied AI,rejected,Подтверждение раунда преимущественно через агрегаторы и отраслевые перепечатки; заказ на 1000 единиц в Саудовской Аравии независимо не подтверждён
c-014,X Square Robot,https://news.crunchbase.com/robotics/embodied-ai-fuels-record-funding-china-ipo-momentum-builds/,Китайская робототехника для промышленности и сервиса,series B $293M,2026-04,WebSearch: Chinese AI startup funding 2026 embodied AI,rejected,Детали раунда есть только в обзорной статье Crunchbase News; отдельного подтверждения и вау-свидетельств не собрал
c-015,Sarvam AI,https://techcrunch.com/2026/06/15/sarvam-becomes-indias-newest-ai-unicorn-with-234-million-funding-round-led-by-hcltech/,Индийские суверенные многоязычные модели и inference-инфраструктура,series B $234M,2026-06-15,WebSearch: Indian AI startup funding round 2026,rejected,"Раунд подтверждён (TechCrunch+HCLTech+Slator), метрики впечатляют, но все цифры трекшена — из материалов компании и её партнёра; независимого подтверждения вау нет, не вошёл в квоту"
c-016,Sakana AI,https://techcrunch.com/2025/11/17/sakana-ai-raises-135m-series-b-at-a-2-65b-valuation-to-continue-building-ai-models-for-japan,Японские генеративные модели под язык и культуру Японии,series B $135M,2025-11-17,WebSearch: Japanese AI startup raises funding 2026,rejected,Раунд анонсирован 17 ноября 2025 — вне окна свежести (с 2026-03-03)
c-017,Atom,https://theaiinsider.tech/2026/06/01/japans-atom-raises-nearly-19m-in-seed-round-funding-for-humanoid-robotics-with-goal-to-create-new-species/,Японские гуманоидные роботы для производства и логистики,seed ~$19M,2026-06-01,WebSearch: Japan AI startup funding round announced 2026,rejected,"Раунд в окне, но вау не подтверждается ничем кроме амбициозной формулировки цели; независимых свидетельств W1-W3 не нашёл"
c-018,Robai,https://en.wowtale.net/2026/07/28/234564/,Корейская платформа управления роботами Robot Academy (AI Self-Exploration),seed (сумма не раскрыта),2026-07-28,WebSearch: Korean AI startup raises funding 2026 Seoul,rejected,"Сумма раунда не раскрыта, подтверждение только через одно региональное издание"
c-019,Sume,https://seedtable.com/best-startups-in-seoul,"Корейские AI-агенты, автономно производящие видеоконтент",pre-seed (оценка $14M),2026,WebSearch: Korean AI startup raises funding 2026 Seoul,rejected,"Раунд известен только по агрегатору-списку, точная дата анонса не установлена, внешнего эха нет"
c-020,telli,https://tech.eu/2026/07/23/telli-secures-15m-seed-to-automate-customer-facing-operations/,Берлинская платформа AI-агентов для клиентских операций,seed $15M,2026-07-23,WebSearch: TechFundingNews AI startup raises July 2026 Europe seed,rejected,"Раунд подтверждён, но вау отсутствует: ещё один агент для клиентского сервиса без независимых свидетельств прорыва"
c-021,Promptwatch,https://sifted.eu/articles/promptwatch-raises-seed-round,Немецкий мониторинг видимости брендов в AI-поиске,seed €6M,2026,WebSearch: European AI startup raises seed Series A 2026 Sifted,rejected,"Заявленные €2M ARR за 12 месяцев интересны, но дата анонса раунда в открытом доступе не подтвердилась, статья Sifted за пейволлом"
c-022,Velocity,https://www.mediapost.com/publications/article/416403/israeli-ai-startup-raises-27-million-in-funding.html,Израильская инфраструктура монетизации и дистрибуции для AI-приложений,seed $27M,2026-07-09,WebSearch: Israeli AI startup raises funding 2026,rejected,"Раунд в окне, но подтверждение и вау-материал ограничены одной публикацией; независимых свидетельств W1-W3 нет"
c-023,Tangos AI,https://www.calcalistech.com/ctechnews/article/rk8uoy9mze,Израильская AI-платформа расследований финансовых преступлений,seed $20M,2026,WebSearch: Israeli AI startup raises funding 2026,rejected,Вау не подтверждается: вертикальный AI-продукт без независимых свидетельств прорыва или трекшена
c-024,Emergent (Series B),https://techcrunch.com/2026/01/20/indian-vibe-coding-startup-emergent-raises-70m-at-300m-valuation-from-softbank-khosla-ventures/,"Тот же Emergent, предыдущий раунд",series B $70M,2026-01-20,WebSearch: Emergent unicorn Series C India,duplicate,Дубль c-003: более ранний раунд той же компании и вне окна свежести — учтён как история финансирования в записи c-003
c-025,Instinct,https://techcrunch.com/2026/08/26/viral-ai-startup-instinct-has-raised-350-million-at-a-2-5-billion-valuation/,"Вирусный AI-ассистент, управляющий жизнью пользователя через приложения и звонки",series B $250M (всего $350M),2026-08-26,WebSearch: India AI startup viral product 2026,rejected,"Вне моей полосы: страна в статье не указана, материнская структура и фонды указывают на США, а не на Европу/Азию"
c-026,Revspot,https://yourstory.com/2026/07/ai-startup-revspot-raises-funding-series-a-round,Индийская автоматизация лидогенерации и квалификации,series A $4.8M,2026-07,WebSearch: Indian AI startup funding round 2026,rejected,Обычный вертикальный SaaS-продукт без вау-признаков и без независимых свидетельств
c-027,Deccan AI,https://startupfeed.in/indian-ai-startup-funding-h1-2026/,Индийские данные и оценка для обучения моделей,series A $25M,2026-03,WebSearch: Indian AI startup funding round 2026,rejected,"Подтверждение только через обзорный дайджест, отдельной проверяемой публикации о раунде не нашёл"
c-028,Runable,https://startupfeed.in/indian-ai-startup-funding-h1-2026/,Индийская автоматизация привлечения клиентов и маркетинга для малого бизнеса,series A $21M,2026,WebSearch: Indian AI startup funding round 2026,rejected,"Только упоминание в дайджесте, точная дата и детали раунда не подтверждены независимо"
c-029,Tsuga,https://www.eu-startups.com/2026/06/french-observability-startup-tsuga-lands-e30-million-to-expand-ai-agent-platform/,Французская observability-платформа для AI-агентов,round €30M,2026-06,WebSearch: French AI startup raises 2026 funding round Paris,rejected,"Раунд в окне, но вау не подтверждено: инфраструктурный продукт без внешних свидетельств прорыва или трекшена"
c-030,Davis,https://www.eu-startups.com/2026/05/french-ai-real-estate-startup-davis-raises-e4-6-million-and-unveils-gaudi-1-for-automated-architectural-generation/,Французский AI для недвижимости; модель Gaudi-1 для генерации архитектуры,round €4.6M,2026-05,WebSearch: French AI startup raises 2026 funding round Paris,rejected,"Единственное независимое упоминание, вау только со слов компании (анонс модели без внешней проверки)"
d-01,Chai Discovery,https://siliconangle.com/2026/07/14/chai-discovery-nabs-400m-series-c-ai-designed-antibodies-reach-big-pharma/,Zero-shot AI-дизайн антител (Chai-2/Chai-3) для фармы,Series C $400M,2026-07-13,WebSearch: AI biotech series A 2026,included,"W1 подтверждён независимо (SiliconANGLE, Fierce), раунд Index @ $3.8B; wow 4, грейд A"
d-02,Decart,https://siliconangle.com/2026/05/18/decart-raises-300m-ai-optimization-software-world-models/,Real-time world models (Oasis/Mirage) + оптимизация инференса,Series B $300M,2026-05-18,WebSearch: world model AI startup funding 2026,included,"W1+W2+W4: real-time модели, Oasis 1M юзеров за 3 дня, $300M @ $4B; wow 5, грейд A"
d-03,Higgsfield AI,https://www.prnewswire.com/news-releases/higgsfield-raises-400-million-series-b-financing-at-5-4-billion-valuation-with-annualized-revenue-reaching-700-million-302852430.html,Агентный AI-видеопродакшен; фаундеры из Казахстана,Series B $400M,2026-08-17,WebSearch: Higgsfield funding 2026,duplicate,дубль: запись слита с полосой B
d-04,WindBorne Systems,https://techcrunch.com/2026/08/05/ai-makes-weather-prediction-better-can-windborne-make-it-lucrative/,Метеозонды + WeatherMesh: прогноз точнее государственных агентств,Series B $37M,2026-08-05,WebSearch: AI weather forecasting startup funding 2026,included,"W1 (обгоняет ECMWF, TechCrunch) + W4 (переподписан, Khosla); wow 4, грейд A"
d-05,CuspAI,https://sifted.eu/articles/cuspai-lands-450m-round-to-accelerate-ai-materials-discovery,AI-открытие материалов + консорциум AI Materials Foundry,Series B $450M,2026-07,WebSearch: vc.ru AI раунды / CuspAI verification,rejected,PASS 6: wow_score 3 — за чертой финального отбора при квоте 15 (ядро выдачи 4–5)
d-06,АрхиТех ИИ,https://www.kommersant.ru/doc/8726075,Kodik IDE — российский AI-редактор кода с анонимизацией,"не назван, $15M за 20%",2026-06,WebSearch: АрхиТех ИИ / Русский Венчур,rejected,PASS 6: wow_score 3 — за чертой финального отбора при квоте 15 (ядро выдачи 4–5)
