project,owner,mw,mwh,type,status,region,cod_year,source_url,source_date
BESS GES,Bruc Energy,39.6,,colocated,AAP+AAC (BOE 1T2026),Andalucía (Sevilla),,https://www.pv-magazine.es/2026/04/01/el-boe-publica-en-el-primer-trimestre-18-proyectos-de-almacenamiento-bess-que-suman-1-193-mw/,2026-04-01
BESS Freya,Bruc Energy,39.6,,colocated,AAP+AAC (BOE 1T2026),Andalucía (Sevilla),,https://www.pv-magazine.es/2026/04/01/el-boe-publica-en-el-primer-trimestre-18-proyectos-de-almacenamiento-bess-que-suman-1-193-mw/,2026-04-01
Afrodita,Bruc Energy,39.6,,colocated,AAP+AAC (BOE 1T2026),Andalucía (Sevilla),,https://www.pv-magazine.es/2026/04/01/el-boe-publica-en-el-primer-trimestre-18-proyectos-de-almacenamiento-bess-que-suman-1-193-mw/,2026-04-01
Gazules I Hibridación,Bruc Energy,45.83,,colocated,AAP+AAC (BOE 1T2026),Andalucía (Sevilla),,https://www.pv-magazine.es/2026/04/01/el-boe-publica-en-el-primer-trimestre-18-proyectos-de-almacenamiento-bess-que-suman-1-193-mw/,2026-04-01
BESS Solórzano,Benbros,49.738,,colocated,AAP+AAC+DIA (BOE 1T2026),Cantabria,,https://www.pv-magazine.es/2026/04/01/el-boe-publica-en-el-primer-trimestre-18-proyectos-de-almacenamiento-bess-que-suman-1-193-mw/,2026-04-01
Solnova ST1,Solnova,22,,colocated,AAP+AAC (BOE 1T2026),Andalucía (Sevilla),,https://www.pv-magazine.es/2026/04/01/el-boe-publica-en-el-primer-trimestre-18-proyectos-de-almacenamiento-bess-que-suman-1-193-mw/,2026-04-01
Los Belos,Opdenergy,26.74,,colocated,AAP+AAC (BOE 1T2026),Aragón (Zaragoza),,https://www.pv-magazine.es/2026/04/01/el-boe-publica-en-el-primer-trimestre-18-proyectos-de-almacenamiento-bess-que-suman-1-193-mw/,2026-04-01
Montesol,Opdenergy,26.74,,colocated,AAP+AAC (BOE 1T2026),Aragón (Teruel),,https://www.pv-magazine.es/2026/04/01/el-boe-publica-en-el-primer-trimestre-18-proyectos-de-almacenamiento-bess-que-suman-1-193-mw/,2026-04-01
BESS Belinchón 1,Opdenergy,26.74,,colocated,AAP+AAC (BOE 1T/2T2026),Castilla-La Mancha (Cuenca),,https://www.pv-magazine.es/2026/04/01/el-boe-publica-en-el-primer-trimestre-18-proyectos-de-almacenamiento-bess-que-suman-1-193-mw/,2026-04-01
BESS Belinchón 2,Opdenergy,26.74,,colocated,AAP+AAC (BOE 1T/2T2026),Castilla-La Mancha (Cuenca),,https://www.pv-magazine.es/2026/04/01/el-boe-publica-en-el-primer-trimestre-18-proyectos-de-almacenamiento-bess-que-suman-1-193-mw/,2026-04-01
BESS Belinchón 3,Opdenergy,26.74,,colocated,AAP+AAC (BOE 1T2026),Castilla-La Mancha (Cuenca),,https://www.pv-magazine.es/2026/04/01/el-boe-publica-en-el-primer-trimestre-18-proyectos-de-almacenamiento-bess-que-suman-1-193-mw/,2026-04-01
Hibridación Covatillas 3,Opdenergy,43.9,,colocated,AAP+AAC (BOE 1T2026),Castilla-La Mancha (Cuenca),,https://www.pv-magazine.es/2026/04/01/el-boe-publica-en-el-primer-trimestre-18-proyectos-de-almacenamiento-bess-que-suman-1-193-mw/,2026-04-01
Villanueva del Rey,Naturgy Renovables,22.92,,colocated,AAP+AAC (BOE 1T2026),Andalucía (Sevilla),,https://www.pv-magazine.es/2026/04/01/el-boe-publica-en-el-primer-trimestre-18-proyectos-de-almacenamiento-bess-que-suman-1-193-mw/,2026-04-01
Almacenamiento Elawan Torrijos I,Elawan Energy,20,,colocated,AAP+AAC (BOE 1T2026),Castilla-La Mancha (Toledo),,https://www.pv-magazine.es/2026/04/01/el-boe-publica-en-el-primer-trimestre-18-proyectos-de-almacenamiento-bess-que-suman-1-193-mw/,2026-04-01
Valdesolar BESS,Repsol,200,,colocated,AAP+AAC (BOE 1T2026),Extremadura (Badajoz),,https://www.pv-magazine.es/2026/04/01/el-boe-publica-en-el-primer-trimestre-18-proyectos-de-almacenamiento-bess-que-suman-1-193-mw/,2026-04-01
PB Babor,Arena Green Power,66,,standalone,AAP solicitada / DIA (BOE 4T2025-1T2026),Andalucía (Cádiz),,https://www.pv-magazine.es/2026/04/01/el-boe-publica-en-el-primer-trimestre-18-proyectos-de-almacenamiento-bess-que-suman-1-193-mw/,2026-04-01
SPK Trujillo,Zelestra,109.2,,colocated,AAP+AAC (BOE 2T2026),Extremadura (Cáceres),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
El Cuco,Aquila Clean Energy,33.6,,colocated,AAP+AAC (BOE 2T2026),Castilla-La Mancha (Albacete),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
Herrera de los Navarros,Grupo Jorge,35.105,,colocated,AAP+AAC (BOE 2T2026),Aragón (Zaragoza),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
Mulhacén Solar BESS,Ignis,21.56,,colocated,evaluación ambiental simplificada (BOE 2T2026),Castilla-La Mancha (Toledo),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
BESS Lagerung,Matrix Renewables,101.8,,standalone,AAP (BOE 3T2025/2T2026),Cataluña (Girona),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
Orcoyen Almacena,ABO Energy España,73.6,,standalone,AAP / evaluación ambiental (BOE 2T2026),Navarra,,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
Tagus 2 HBESS,RIC Energy,176.44,,colocated,AAP+AAC (BOE 2T2026),Castilla-La Mancha (Toledo),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
BESS Pacheco,X-Elio,105,,colocated,AAP+AAC (BOE 2T2026),Murcia,,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
Las Lomillas,EDP Renovables,36,,colocated,AAP+AAC (BOE 4T2025/2T2026),Castilla-La Mancha (Cuenca),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
La Isla,AGR-AM,16.5,,colocated,AAP+AAC (BOE 2T2026),Andalucía (Sevilla),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
Talayuela II BESS,Statkraft,23.87,,colocated,AAP (BOE 4T2025) / DIA (2T2026),Extremadura (Cáceres),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
La Fernandina,Opdenergy,24.04,,colocated,DIA (BOE 2T2026),Extremadura (Badajoz),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
Aitana,Grenergy,21.89,,colocated,DIA (BOE 2T2026),Castilla-La Mancha (Cuenca),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
Aspe,Grenergy,21.89,,colocated,DIA (BOE 2T2026),Castilla-La Mancha (Cuenca),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
Bañuela,Grenergy (GR Bañuela Renovables),21.69,,colocated,"AAP+AAC (BOE-A-2026-17875, res. 20.07.2026)",Castilla-La Mancha (Cuenca),,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2026-17875,2026-08
Turbón,Grenergy,21.89,,colocated,DIA (BOE 2T2026),Castilla-La Mancha (Cuenca),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
BESS Hibridación PE Iglesias,Iberdrola,30.3,,colocated,AAP+AAC (BOE 2T2026),Castilla y León (Burgos),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
Almacenamiento Iniesta Híbrido,Elawan Energy,30,,colocated,AAP+AAC (BOE 2T2026),Castilla-La Mancha (Cuenca),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
FRV Palau,FRV,20,,standalone,AAP+AAC (BOE 2T2026),Cataluña (Barcelona),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
La Solanilla,FRV,17.5,70,colocated,AAP+AAC (BOE 2T2026),Extremadura (Cáceres),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
Agatha,Bruc Energy,39.6,,colocated,AAP+AAC (BOE 2T2026),Andalucía (Sevilla),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
BESS Don Rodrigo II,Bruc Energy,39.6,,colocated,AAP+AAC (BOE 2T2026),Andalucía (Sevilla),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
BESS Bianor,Bruc Energy,28.37,,colocated,AAP+AAC (BOE 2T2026),Andalucía (Sevilla),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
Archo I,Bruc Energy,42.55,,colocated,AAP+AAC (BOE 2T2026),Andalucía (Málaga),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
Archo II,Bruc Energy,42.55,,colocated,AAP+AAC (BOE 2T2026),Andalucía (Málaga),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
Híbrida Don Rodrigo III,Bruc Energy,39.6,,colocated,AAP+AAC (BOE 2T2026),Andalucía (Sevilla),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
Aquarii,Solaria,39.997,,colocated,AAP+AAC (BOE 2T2026),Castilla y León (León),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
Almacenamiento Castor,Solaria,19.993,,colocated,AAP+AAC (BOE 2T2026),Castilla-La Mancha (Toledo),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
FV Solaria-Santiz I BESS,Solaria,19.993,,colocated,AAP+AAC (BOE 2T2026),Castilla y León (Salamanca),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
Navalvillar Batería,Enel Green Power España,38.5,,colocated,AAP (BOE 2T2026),Extremadura (Badajoz),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
Castilblanco Batería,Enel Green Power España,38.5,,colocated,AAP (BOE 2T2026),Extremadura (Badajoz),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
Valdecaballero Batería,Enel Green Power España,38.5,,colocated,AAP (BOE 2T2026),Extremadura (Badajoz),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
Tesouro Storage,Enel Green Power España,17.5,,colocated,AAP+AAC (BOE 2T2026),Galicia (A Coruña),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
Moeche Storage,Enel Green Power España,10.5,,colocated,AAP+AAC (BOE 2T2026),Galicia (A Coruña),,https://www.pv-magazine.es/2026/07/17/boe-34-proyectos-almacenamiento-con-176-gw-bess-publicados-en-el-segundo-trimestre-de-2026/,2026-07-17
Bolarque I hibridación,Acciona Energía,24.6,,colocated,AAP (BOE 4T2025),Castilla-La Mancha (Cuenca),,https://www.pv-magazine.es/2026/01/12/boe-26-proyectos-de-almacenamiento-en-el-4t-de-2025-con-184-gw/,2026-01-12
BAT Oriol,Iberdrola,205,,colocated,AAP (BOE 4T2025),Extremadura (Cáceres),,https://www.pv-magazine.es/2026/01/12/boe-26-proyectos-de-almacenamiento-en-el-4t-de-2025-con-184-gw/,2026-01-12
Agrupación Maira (Alpha/Beta/Delta),Solaria,150,,colocated,AAP (BOE 4T2025),Castilla y León (Burgos),,https://www.pv-magazine.es/2026/01/12/boe-26-proyectos-de-almacenamiento-en-el-4t-de-2025-con-184-gw/,2026-01-12
Hibridación La Loma,Alerion,36,,colocated,AAP (BOE 4T2025),Aragón (Teruel),,https://www.pv-magazine.es/2026/01/12/boe-26-proyectos-de-almacenamiento-en-el-4t-de-2025-con-184-gw/,2026-01-12
Ictio Alcázar II & III,Galp,40,,colocated,informe ambiental (BOE 4T2025),Castilla-La Mancha (Ciudad Real),,https://www.pv-magazine.es/2026/01/12/boe-26-proyectos-de-almacenamiento-en-el-4t-de-2025-con-184-gw/,2026-01-12
OPDE Miramundo,Opdenergy,24.04,,colocated,informe ambiental (BOE 4T2025),Andalucía (Cádiz),,https://www.pv-magazine.es/2026/01/12/boe-26-proyectos-de-almacenamiento-en-el-4t-de-2025-con-184-gw/,2026-01-12
BAT San Antonio,Iberdrola,30,123.863,colocated,AAP (BOE 4T2025); DIA 3T2025,Extremadura (Cáceres),,https://www.pv-magazine.es/2026/01/12/boe-26-proyectos-de-almacenamiento-en-el-4t-de-2025-con-184-gw/,2026-01-12
BAT Majada Alta,Iberdrola,30,123.863,colocated,AAP (BOE 4T2025); DIA 3T2025,Extremadura (Cáceres),,https://www.pv-magazine.es/2026/01/12/boe-26-proyectos-de-almacenamiento-en-el-4t-de-2025-con-184-gw/,2026-01-12
BAT Cedillo,Iberdrola,215,,colocated,AAP (BOE 4T2025),Extremadura (Cáceres),,https://www.pv-magazine.es/2026/01/12/boe-26-proyectos-de-almacenamiento-en-el-4t-de-2025-con-184-gw/,2026-01-12
Broza Solar BESS,Ignis,10.9,,colocated,AAP (BOE 4T2025),Castilla-La Mancha (Guadalajara),,https://www.pv-magazine.es/2026/01/12/boe-26-proyectos-de-almacenamiento-en-el-4t-de-2025-con-184-gw/,2026-01-12
BESS Mudéjar,Enel Green Power España,42,,colocated,DIA (BOE 4T2025),Aragón (Teruel),,https://www.pv-magazine.es/2026/01/12/boe-26-proyectos-de-almacenamiento-en-el-4t-de-2025-con-184-gw/,2026-01-12
BAT Tagus I-IV,Iberdrola,140,,colocated,AAP (BOE 4T2025),Extremadura (Cáceres),,https://www.pv-magazine.es/2026/01/12/boe-26-proyectos-de-almacenamiento-en-el-4t-de-2025-con-184-gw/,2026-01-12
La Farga BESS,Our New Energy,148.379,,standalone,AAP (BOE 4T2025),Cataluña (Girona),,https://www.pv-magazine.es/2026/01/12/boe-26-proyectos-de-almacenamiento-en-el-4t-de-2025-con-184-gw/,2026-01-12
PSF El Tello + storage,X-Elio (Brookfield),63,,colocated,informe ambiental (BOE 4T2025),C. Valenciana,,https://www.pv-magazine.es/2026/01/12/boe-26-proyectos-de-almacenamiento-en-el-4t-de-2025-con-184-gw/,2026-01-12
BESS Hibridaciones FV Arenales,Iberdrola,95,,colocated,AAP (BOE 4T2025),Extremadura (Cáceres),,https://www.pv-magazine.es/2026/01/12/boe-26-proyectos-de-almacenamiento-en-el-4t-de-2025-con-184-gw/,2026-01-12
Pegaso,Solaria,31,,colocated,informe ambiental (BOE 4T2025),Castilla y León (Valladolid),,https://www.pv-magazine.es/2026/01/12/boe-26-proyectos-de-almacenamiento-en-el-4t-de-2025-con-184-gw/,2026-01-12
Las Regañas,Opdenergy,51,,standalone,AAP (BOE 4T2025),Cataluña (Barcelona),,https://www.pv-magazine.es/2026/01/12/boe-26-proyectos-de-almacenamiento-en-el-4t-de-2025-con-184-gw/,2026-01-12
PB Sonora Subirats 1,RIC Energy,23.49,,standalone,AAP solicitada (BOE 3T2025),Cataluña (Barcelona),,https://www.pv-magazine.es/2025/10/10/se-anuncio-la-construccion-de-8-proyectos-bess-con-un-total-de-47325-mw-en-el-3t-en-espana/,2025-10-10
BESS Hibridación FV Andévalo,Iberdrola,26.36,,colocated,AAP (BOE 3T2025),Andalucía (Huelva),,https://www.pv-magazine.es/2025/10/10/se-anuncio-la-construccion-de-8-proyectos-bess-con-un-total-de-47325-mw-en-el-3t-en-espana/,2025-10-10
